Brand,Delivery,Returns
zara,Delivery Charges: Rs. 290;Free over Rs 2990;Delivery in 2-8 days,30 days;Brand pickup: Rs.100;Refund in bank a/c
hnm,Delivery Charges: Rs. 149;Free over Rs 1999;Delivery in 2-7 days,15 days;Brand pickup; Refund in bank a/c
uniqlo,Delivery Charges: Rs 250;Free over 2999;Delivery in 2-5 days,30 days;Brand pickup: Rs.50;Refund in bank a/c
mango,Delivery Charges: Rs. 790;Free over Rs. 6500; Delivery in 6-8 days,60 days; Brand pickup; Refund in bank a/c
marks-and-spencer,Delivery Charges: Rs. 99;Free over Rs 999;Delivery in 7 days,35 days;Brand pickup;Refund in bank a/c
vero-moda,Delivery Charges: Rs.99;Free over Rs. 1299; Delivery in 5-10 days,15 days;Brand pickup; Refund in bank a/c
celio,Delivery Charges: Rs. 50;Free over Rs. 1000;Delivery in 2-5 days,15 days;Brand pickup;Refund in bank a/c
forever21,Free shipping;Delivery in 5-10 days,30 days;Brand pickup;Refund in bank a/c
nike,Delivery charges: Rs.1250;Delivery in 6-9 days,30 days;Brand pickup;Refund in bank a/c
adidas,Free shipping;Delivery in 2-5 days,30 days;Brand pickup;Refund in bank a/c
and-fashion,Delivery Charges: Rs.100;Free over 1499;Delivery in 4-5 days,7 days;Brand pickup;Refund in bank a/c
westside,Free Shipping;Delivery in 5-7 days,30 days;Brand pickup;Refund in bank a/c
jack-and-jones,Delivery charges: Rs. 99;Free over Rs. 2499;Delivery in 5-10 days,15 days;Brand pickup;Refund in bank a/c
fabindia,Delivery charges: Rs. 99;Free over 1000;Delivery in 3-7 days,30 days;Brand pickup;Refund in bank a/c
levis,Delivery charges: Rs.100;Free over 999;Delivery in 2-5 days,30 days;Brand pickup;Refund in bank a/c
aarke,Delivery charges: Rs. 99;Free over 1500;Delivery in 5-10 days,7 days;Brand pickup;Refund in bank a/c
nicobar,Free shipping over 1000;Delivery in 5-7 days,15 days;Brand pickup;Refund as store credit
andamen,Free shipping;Delivery in 2-5 days,60 days;Brand pickup;Refund in bank a/c
bliss-club,Free shipping;Delivery in 2-5 days,14 days;Brand pickup;Refund in bank a/c
mulmul,Delivery Charges: Rs 99;Free over Rs. 5000;Delivery in 4-5 days,7 days return;Self-ship;Refund in bank a/c
rareism,Delivery Charges: Rs 200;Free over Rs. 1500;Delivery in 7-10 days,7 days - non sale;Brand pickup;Refund in bank a/c
biba,Free shipping;Delivery in 2-3 days,15 days;Brand pickup;Refund in bank a/c
rare-rabbit,Delivery Charges: Rs 50;Free over Rs. 2500;Delivery in 7-10 days,7 days;Brand pickup;Refund in bank a/c
suta,Delivery charges: Rs.150;Free shipping over 1950;Delivery in 5-6 days,10 days;Brand pickup;Refund in bank a/c
souled-store,Delivery charges: Rs. 50;Free over 450;Delivery in 1-4 days,30 days;Brand pickup;Refund in bank a/c
fable-street,Delivery Charges: Rs. 95;Free over Rs. 1000;Delivery in 3-10 days,7 days;Brand pickup;Refund in bank a/c
bombay-shirt-company,Free Shipping;Delivery in 10-15 days,30 days return;Brand pickup;Refund in bank a/c
marchtee,Delivery Charges: Rs.120;Delivery in 5 days,14 days - non sale;Brand pickup;Refund in bank a/c
urbanic,Delivery charges: Rs. 99;Free over 990;Delivery in 10-15 days,10 days;Brand pickup;Refund in bank a/c
freakins,Free shipping;Delivery in 2-5 days,14 days: non sale;Brand pickup;Refund in bank a/c
aristobrat,Free Shipping;Delivery in 2-5 days,14 days;Brand pickup;Refund in bank a/c
swtantra,Delivery Charges: Rs. 180;Free over Rs 2000;Delivery in 2-7 days,2 days - defects only;Brand pickup;Refund as store credits
jaypore,Delivery Charges: Rs 100;Free over Rs. 999;Delivery in  7-10 days,10 days return;Brand pickup;Refund in bank a/c
true-browns,Free shipping;Delivery in 3-7 days,7 days - non sale;Brand pickup;Refund in bank a/c
okhai,Delivery charges: Rs. 100;Free over Rs.4999;Delivery in 2-5 days,30 days;Brand pickup;Refund in bank a/c
no-nasties,Delivery charges: Rs. 100;Free over Rs.3000;Delivery in 3-7 days,30 days;Brand pickup;Refund as store credit
woman-like-u,Free shipping;Delivery in 4-7 days,2 days - exchange only;Brand pickup
nefs-finds,Delivery Charges: Rs. 100;Delivery in 7-14 days,1 day;Brand pickup;Refund as store credit
exhale-label,Free shipping;Delivery in 10-13 days,7 days - only exchanges;Self-ship;Refund as store credit
torqadorn,Free shipping;Delivery in 7-15 days,2 days;Brand pickup: Rs. 100;Refund as store credit
saadaa,Free shipping;Delivery in 3-7 days,7 days;Brand pickup;Refund in bank a/c
cava-athleisure,Free shipping;Delivery in 3-7 days,15 days - non sale;Brand pickup;Refund as store credit
karagiri,Free Shipping;Delivery in 7-10 days,"2 days return, 10 days exchange;Brand pickup;Refund in bank a/c"
tasva,Free Shipping;Delivery in 7-10 days,7 days;Brand pickup;Refund in bank a/c
kalki,Free shipping;Delivery in 3-7 days,2 days;Brand pickup;Refund in bank a/c
beach-company,Delivery charges: Rs. 80;Free over 1000;Delivery in 7-10 days,10 days exchange;Refund as store credit
creatures-of-habit,Free Shipping;Delivery in 7-10 days,14 days;Brand pickup;Refund in bank a/c
old-marigold,Delivery charges: Rs. 50;Delivery in 10-12 days,2 days - exchanges only;Self Ship
american-eagle,Free Shipping;Delivery in 2-5 days,30 days;Brand pickup;Refund in bank a/c
united-colors-of-benetton,Free Shipping;Delivery in 7 days,30 days;Brand pickup;Refund in bank a/c
forever-new,Free Shipping;Delivery in 5-7 days,15 days;Brand pickup;Refund in bank a/c
house-of-chikankari,Free Shipping;Delivery in 3-7 days,7 days;Brand pickup;Refund in bank a/c
only,Delivery charges: Rs. 99;Free over 2499;Delivery in 5-10 days,15 days;Brand pickup;Refund in bank a/c
cover-story,Free Shipping;Delivery in 3-7 days,30 days;Brand pickup;Refund in bank a/c
cottonworld,Free Shipping over 999;Delivery in 7-10 days,30 days;Brand pickup;Refund in bank a/c
globaldesi,Free Shipping over 1499;Delivery in 4-5 days,30 days;Brand pickup;Refund in bank a/c
label-life,Free Shipping;Delivery in 3-10 days,15 days;Brand pickup;Refund in bank a/c
urban-monkey,Free Shipping;Delivery in 2-7 days,7 days;Brand pickup;Refund in bank a/c
goya-swim,Free Shipping;Delivery in 3-5 days,30 days;Self ship;Refund in bank a/c
gap,Free Shipping over 799;Delivery in 3-7 days,10 days;Brand pickup;Refund in bank a/c
uptownie,Free Shipping;Delivery in 4-7 days,15 days;Brand pickup;Refund as store credit
ancestry,Free Shipping;Delivery in 2-11 days,15 days;Brand pickup;Refund in bank a/c
why-so-blue-love,Delivery charges: Rs. 150;Free over 2000;Delivery in 5-10 days,3 days;Self ship;Refund as store credit
pause,Free Shipping;Delivery in 2-3 days,15 days;Brand pickup;Refund in bank a/c
saphed,Free Shipping;Delivery in 7-10 days,30 days exchange
rustorange,Delivery charges: Rs.50;Free over 1200;Delivery in 3-7 days,7 days;Brand pickup;Refund in bank a/c
urban-suburban,Delivery charges: Rs.150;Free over 6500;Delivery in 15-20 days,7 days;Self ship;Refund as store credit
qua,Free Shipping;Delivery in 4-5 days,7 days;Brand pickup;Refund in bank a/c
amrapali-boutique,Free Shipping;Delivery in 3-10 days,3 days;Paid brand pickup;Refund in bank a/c
theloom,Delivery charges: Rs.150;Free over 2000;Delivery in 3-7 days,7 days;Brand pickup;Refund in bank a/c
abhishti,Delivery charges: Rs.90;Free over 1499;Delivery in 3-5 days,15 days;Brand pickup;Refund in bank a/c
label-dc,Free Shipping;Delivery in 7-12 days,3 days exchange only;Self ship
label-ritu-kumar,Delivery charges: Rs 99;Free over Rs 1500;Delivery in 3-10 days,7 days;Brand pickup;Refund in bank a/c
chidiyaa,Free Shipping;Delivery in 4-5 days,2 days;Paid Brand pickup;Refund in bank a/c
oziss,Free Shipping;Delivery in 5-9 days,7 days;Paid Brand pickup;Refund as store credit
bunaai,Free Shipping;Delivery in 10-12 days,2 days - size exchange only;Self-ship
madame,Free shipping over Rs. 1000;Delivery in 3-7 days,7 days;Brand pickup;Refund in bank a/c
faballey,Free Shipping;Delivery in 2-4 days,7 days return;Brand pickup;Refund as store credit
bewakoof,Free Shipping;Delivery in 5-7 days,15 days return;Brand pickup;Refund in bank a/c
kica,Free shipping;Delivery in 5-7 days,7 days;Brand pickup;Refund in bank a/c
indian-ethnic-co,Free shipping over Rs. 999;Delivery in 2-14 days,7 days; Brand pickup;Refund as store credit
dash-and-dot,Free shipping;Delivery in 7-14 days,7 days;Brand pickup;Refund as store credit
sootisyahi,Delivery charges: Rs 100;Free over Rs. 1000;Delivery in  4-7 days,3 days;Brand pickup: Rs 200;Refund in bank a/c
go-native,Delivery charges: Rs 100;Delivery in 4-8 days,10 days;Brand pickup;Refund as store credit
summer-house,Free shipping;Delivery in 7-10 days,3 days - exchanges only;Brand pickup
august-co,Free shipping;Delivery in 4-8 days,5 days;Brand pickup;Refund as store credit
pant-project,Free shipping over Rs. 1000;Delivery in 8-12 days,14 days - exchange only;Brand pickup
libas,Free shipping;Delivery in 3-4 days,15 days;Brand pickup;Refund in bank a/c
w-for-woman,Free shipping;Delivery in 5-7 days,10 days;Brand pickup;Refund in bank a/c
beeglee,Free shipping;Delivery in 3-7 days,7 days;Brand pickup: Rs 99;Refund as store credit
off-duty,Free shipping;Delivery in 3-5 days,2 days;Brand pickup;Refund in bank a/c
soch,Free shipping;Delivery in 3-7 days,15 days;Brand pickup; Refund in bank a/c
wrangler,Free shipping;Delivery in 5-10 days,30 days;Brand pickup;Refund in bank a/c
lee,Free shipping;Delivery in 5-10 days,30 days;Brand pickup;Refund in bank a/c
babli,Delivery charges: Rs 150;Free over Rs. 1000;Delivery in  7-10 days,2 days;Brand pickup: Rs 150;Refund as store credit
lemonade,Free shipping;Delivery in 5-7 days,5 days;Brand pickup;Refund in bank a/c
pinkfort,Delivery charges: Rs 95;Free over Rs. 1000;Delivery in 3-10 days,2 days;Brand pickup;Refund in bank a/c
jisora,Free shipping;Delivery in 4-5 days,5 days;Brand pickup;Refund in bank a/c
bonkers-corner,Delivery charges: Rs 50;Free over Rs. 1499;Delivery in  7-10 days,15 days;Brand pickup: Rs 100;Refund as store credit
berrylush,Free shipping;Delivery in 7-9 days,30 days;Brand pickup;Refund in bank a/c
flirtatious,Free shipping;Delivery in 7 days,All products customised;No returns
monks-of-method,Free Shipping;Delivery in 14-20 days,90 days;Brand pickup;Refund in bank a/c
summer-somewhere,Delivery charges: Rs 200;Free over Rs. 7000;Delivery in 3-5 days,15 days - non sale;Brand pickup;Refund as store credit
bluorng,Free shipping;Delivery in 3-5 days,7 days;Brand pickup;Refund as store credit
cord-studio,Delivery charges: Rs 200;Delivery in 10-12 days,3 days - non sale;Brand pickup;Refund as store credit
lavanya-label,Free shipping;Delivery in 7-10 days,2 days - exchange only;Self Ship
athlos,Free shipping;Delivery in 7-10 days,20 days;Brand pickup;Refund in bank a/c
indya,Free shipping;Delivery in 2-5 days,7 days;Brand pickup;Refund as store credit
veshti-company,Delivery charges: Rs 95;Delivery in 2-5 days,15 days;Brand pickup;Refund in bank a/c
snitch,Free shipping;Delivery in 2-5 days,7 days;Brand pickup: Rs 100;Refund in bank a/c
fancypants,Free shipping;Delivery in 2-10 days,10 days;Paid Brand pickup;Refund as store credit
us-polo,Delivery charges: Rs 99;Free over Rs. 999;Delivery in 3-10 days,15 days;Brand pickup;Refund in bank a/c
g-star-raw,Free Shipping over 799;Delivery in 3-7 days,10 days;Brand pickup;Refund in bank a/c
calvin-klein,Delivery charges: Rs 99;Free over Rs. 999;Delivery in 3-10 days,15 days;Brand pickup;Refund in bank a/c
newme,Free shipping;Delivery in 10-15 days,7 days;Brand pickup;Refund in bank a/c
fashor,Delivery charges: Rs 40;Free over Rs. 999;Delivery in 2-7 days,15 days;Brand pickup;Refund in bank a/c
alternative,Free shipping;Delivery in 10-12 days,3 days - only exchanges;Self-ship
little-things-studio,Delivery charges: Rs 150;Free over Rs. 5000;Delivery in 6-12 days,2 days - size exchange only;Self-ship;Refund as store credit
ekastories,Free shipping over Rs. 2000;Delivery in 10-15 days,3 days - size exchange only;Self-ship
mr-button,Free shipping;Delivery in 7-10 days,7 days;Brand pickup: Rs 250;Refund in bank a/c
basanti,Delivery charges: Rs 199;Delivery in 7-10 days,4 days - only exchanges;Brand pickup;Refund as store credit
house-of-soi,Free shipping;Delivery in 7-10 days,No returns;No refunds
virgio,Free shipping over Rs. 1499;Delivery in 5-7 days,15 days;Brand pickup;Refund in bank a/c
jolene,Free shipping;Delivery in 7-12 days,7 days;Brand pickup: Rs 99;Refund in bank a/c
puma,Free shipping;Delivery in 5-7 days,14 days;Brand pickup;Refund in bank a/c
chique,Free shipping;Delivery in 3-7 days,15 days;Brand pickup;Refund as store credit
superdry,Free shipping;Delivery in 5-7 days,30 days;Brand pickup;Refund in bank a/c
kazo,Free shipping;Delivery in 3-7 days,7 days;Brand pickup;Refund in bank a/c
jaywalking,Free shipping;Delivery in 2-10 days,7 days;Self ship;Refund as store credit
untung,Free shipping;Delivery in 2-5 days,7 days;Brand pickup: Rs 99;Refund in bank a/c
ganga-fashions,Free shipping over Rs. 1500;Delivery in 4-10 days,3 days - only damaged;Brand pickup;Refund in bank a/c
aurelia,Free shipping;Delivery in 3-7 days,14 days;Brand pickup;Refund in bank a/c
the-burnt-soul,Free shipping;Delivery in 6-7 days,2 days - exchange only;Brand pickup
sajke,Free shipping;Delivery in 7-8 days,2 days - exchange only;Self ship
tjori,Free shipping;Delivery in 3-5 days,3 days;Brand pickup;Refund as store credit
alaya-by-stage-3,Free shipping;Delivery in 5-7 days,7 days;Brand pickup;Refund in bank a/c
alter-ego,Free shipping;Delivery in 12-18 days,7 days;Brand pickup;Refund as store credit
house-of-mae,Free shipping;Delivery in 5-10 days,2 days - size exchange only;Self ship
mauve,Free shipping;Delivery in 8-10 days,3 days;Brand pickup: Rs 100;Refund as store credit
house-of-fett,Free shipping;Delivery in 5-7 days,2 days;Brand pickup;Refund as store credit
house-of-sal,Free shipping;Delivery in 2-5 days,4 days;Brand pickup: Rs 100;Refund in bank a/c
bohemian-dream,Free shipping;Delivery in 8-10 days,3 days;Brand pickup;Refund as store credit
the-clothing-factory,Free shipping;Delivery in 5-10 days,7 days;Brand pickup: Rs 200;Refund as store credit
no-labels,Delivery charges: Rs 49;Delivery in 5-12 days,4 days;Brand pickup;Refund as store credit
october-jaipur,Free shipping;Delivery in 6-7 days,2 days - exchange only;Brand Pickup
savana,Delivery charges: Rs 90;Free over Rs. 990;Delivery in 3-7 days,10 days;Brand pickup;Refund in bank a/c
karaj-jaipur,Free shipping;Delivery in 5-10 days,3 days - exchange only;Self ship
doodlage,Delivery charges: Rs 100;Free over Rs. 3000;Delivery in 8-14 days,7 days;Self ship: Rs 150;Refund as store credit
wildcherry,Delivery charges: Rs 99;Delivery in 12-14 days,15 days;Self ship;Refund as store credit
mahee-jaipur,Free shipping;Delivery in 5-7 days,7 days;Brand pickup;Refund as store credit
narayani-vastra,Free shipping;Delivery in 10-15 days,7 days;Self ship;Refund as store credit
firangi-yarn,Free shipping;Delivery in 3-15 days,2 days;Brand pickup: Rs 100;Refund as store credit
365-days-cotton,Delivery charges: Rs 100;Free over Rs. 1999;Delivery in 7-10 days,2 days - exchange only;Brand pickup
sage-by-mala,Free shipping;Delivery in 5-7 days,7 days;Brand pickup: Rs 150;Refund in bank a/c
muvazo,Free shipping;Delivery in 5-7 days,7 days;Paid brand pickup;Refund as store credit
pincode21,Delivery charges: Rs 70;Free over Rs. 2099;Delivery in 5-7 days,2 days - exchange only;Brand pickup
canoopi,Free shipping;Delivery in 5-10 days,7 days;Brand pickup: Rs 325;Refund in bank a/c
chhapa,Delivery charges: Rs 120;Free over Rs. 10000;Delivery in 5-7 days,7 days;Paid brand pickup;Refund in bank a/c
days-for-clothing,Delivery charges: Rs 150;Free over Rs. 3500;Delivery in 5-7 days,
kshm,Free shipping;Delivery in 8-12 days,5 days;Brand pickup: Rs 150;Refund in bank a/c
styleash,Free shipping;Delivery in 5-7 days,5 days - exchange only;Brand pickup
there-you-go,Free shipping;Delivery in 5-7 days,1.5 days;Brand pickup;Refund in bank a/c
basata,Free shipping;Delivery in 5-7 days,7 days;Brand pickup: Rs 100;Refund as store credit
tree-jm,Delivery charges: Rs 200;Delivery in 10-12 days,No returns;No refunds
jodi-life,Free shipping;Delivery in 15-21 days,7 days - exchange only;Brand pickup
quirky-bae,Free shipping;Delivery in 6-10 days,3 days;Self ship;Refund in bank a/c
kavana,Delivery charges: Rs 150;Free over Rs. 5000;Delivery in 7-15 days,2 days;Self ship;Refund in bank a/c
louis-philippe,Free shipping;Delivery in 2-7 days,15 days;Brand pickup;Refund in bank a/c
van-heusen,Free shipping;Delivery in 2-7 days,15 days;Brand pickup;Refund in bank a/c
allen-solly,Free shipping;Delivery in 2-7 days,15 days;Brand pickup;Refund in bank a/c
reebok,Free shipping;Delivery in 2-7 days,15 days;Brand pickup;Refund in bank a/c
dorabi,Free shipping;Delivery in 4-7 days,7 days;Brand pickup;Refund as store credit
thr3letter,Free shipping;Delivery in 2-7 days,2 days - only exchanges;Self ship
clothes-on-my-mind,Free shipping;Delivery in 5-12 days,5 days - only exchanges;Self ship
peachy-boo,Free shipping;Delivery in 7-10 days,3 days - only exchanges;Self ship
picchika,Delivery charges: Rs. 350;Delivery in 7-21 days,No returns;No refunds
huemn,Free shipping;Delivery in 10-15 days,7 days;Self ship;Refund in bank a/c
amoshi,Free shipping;Delivery in 5-10 days,7 days - only exchanges;Self ship
urth-label,Free shipping;Delivery in 6-10 days,5 days - only exchanges;Self ship
echo-studio,Free shipping;Delivery in 5-7 days,10 days;Brand pickup;Refund as store credit
eleven-eleven,Free shipping;Delivery in 5-7 days,No returns;No refunds
lost-my-accent,Free shipping;Delivery in 3-5 days,7 days;Paid pickup;Refund as store credit
dhruv-kapoor,Free shipping;Delivery in 7-10 days,2 days;Self ship;Refund as store credit
kardo,Free shipping;Delivery in 7-10 days,15 days;Self ship;Refund in bank a/c
kingdom-of-white,Free shipping;Delivery in 2-7 days,7 days;Brand pickup;Refund as store credit
goldys-nestt,Free shipping;Delivery in 4-5 days,7 days;Brand pickup;Refund as store credit
aamili,Free shipping;Delivery in 5-7 days,7 days;Brand pickup;Refund as store credit
lea-clothing,Delivery charges: Rs 100;Free over Rs. 1500;Delivery in 10-12 days,15 days;Brand pickup: Rs 150;Refund as store credit
nikki-k-clothing,Free shipping;Delivery in 5-7 days,2 days;Self ship;Refund as store credit
janasya,Free shipping;Delivery in 3-5 days,7 days;Brand pickup;Refund as store credit
juniper,Free shipping;Delivery in 5-7 days,7 days;Brand pickup;Refund in bank a/c
thread-button,Free shipping;Delivery in 7-10 days,2 days - only exchanges;Self ship
kapraaha,Free shipping;Delivery in 7-12 days,2 days - only size exchanges;Self ship
label-reyya,Free shipping;Delivery in 3-5 days,7 days;Brand pickup: Rs 200;Refund as store credit
dressfolk,Free shipping;Delivery in 7-12 days,3 days;Brand pickup;Refund in bank a/c
twenty-nine,Free shipping;Delivery in 7-10 days,No returns;No refunds
nobero,Free shipping;Delivery in 2-5 days,7 days;Brand pickup;Refund in bank a/c
midsummer,Delivery charges: Rs 90;Free over Rs. 2500;Delivery in 5-7 days,2 days;Self ship;Refund as store credit
addery,Free shipping;Delivery in 5-7 days,2 days;Self ship;Refund as store credit
fugazee,Free shipping;Delivery in 7-10 days,15 days;Brand pickup: Rs 100;Refund in bank a/c
145-east,Delivery charges: Rs 150;Free over Rs. 5000;Delivery in 10-14 days,3 days - only exchanges;Self ship
it-girl,Free shipping;Delivery in 7-12 days,3 days;Self ship;Refund as store credit
july-issue,Free shipping;Delivery in 8-18 days,No returns;No refunds
bouji,Delivery charges: Rs 150;Free over Rs. 5000;Delivery in 7-8 days,7 days;Brand pickup: Rs 150;Refund in bank a/c
deepika-arora,Free shipping;Delivery in 10-15 days,2 days - only size exchanges;Brand pickup
ragavi,Free shipping;Delivery in 10-15 days,2 days - only size exchanges;Self Ship
volcape,Free Shipping;Delivery in 3-5 days,7 days - exchange only;Self ship
poppi,Delivery Charges: Rs. 100;Free over Rs 5000;Delivery in 3-4 days,7 days;Brand pickup;Refund as store credit
prose-stories,Free shipping;Delivery in 7-10 days,15 days;Brand pickup;Refund as store credit
urbano,Free shipping;Delivery in 9-12 days,15 days;Brand pickup;Refund in bank a/c
binfinite,Free shipping;Delivery in 7-12 days,3 days - exchange only;Self ship
little-box,Delivery charges: Rs.99;Delivery in 4-5 days,7 days - only size exchanges;Brand pickup: Rs.99
polite-society,Delivery Charges: Rs. 100;Free over Rs 5000;Delivery in 6-7 days,14 days;Brand pickup;Refund as store credit
outcast,Delivery Charges: Rs. 99;Free over Rs 999,7 days;Brand pickup;Refund in bank a/c
the-label-jenn,Free shipping;Delivery in 15-30 days,7 days - exchange only;Self ship
ozeqo,Free shipping;Delivery in 2-30 days,Brand pickup;Refund as store credit
ambraee,Free shipping;Delivery in 7-10 days,7 days;Brand pickup: Rs.300;Refund in bank a/c
ordinaree,Free shipping;Delivery in 10-12 days,2 days;Brand pickup: Rs.250
bisou-by-sachi,Free shipping;Delivery in 7-10 days,No returns;No refunds
eleven-o-one,Free shipping;Delivery in 5 days,14 days;Brand pickup
appapop,Free shipping;Delivery in 2-5 days,7 days;Brand pickup;Refund as store credit
by-the-bay,Free shipping;Delivery in 1-7 days,7 days - exchange only;Self ship
cin-cin,Free shipping;Delivery in 4-7 days,3 days - exchange only;Self ship
contemponari,Free shipping;Delivery in 5-7 days,3 days;Brand pickup;Refund in bank a/c
jilmil,Free shipping;Delivery in 5-7 days,
mamicha,Free shipping;Delivery in 7-10 days,5 days - exchange only;Self ship
ostilos,Free shipping;Delivery in 7-10 days,14 days;Self ship;Refund in bank a/c
primal-gray,Free shipping;Delivery in 5-7 days,15 days;Self ship;Refund as store credit
rising-among,Delivery charges: Rs.200;Delivery in 7-14 days,1 day;Brand pickup;Refund as store credit
sotbella,Delivery charges: Rs.75;Delivery in 5-10 days,7 days - exchange only;Self ship
therealb,Free shipping;Delivery in 7-15 days,7 days - exchange only;Self ship
marcel-mae,Free shipping;Delivery in 1-2 days,5 days - exchange only;Self ship
shibui,Free shipping;Delivery in 2-3 days,2 days - exchange only;Self ship
silai-studio,Free shipping;Delivery in 10-12 days,7 days;Brand pickup;Refund as store credit
nafs-store,Free shipping;Delivery in 7-10 days,7 days - exchanges only;Self ship
project-bandi,Free shipping;Delivery in 3-7 days,14 days - exchanges only;Self ship
